#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.584346 0.86 2620 3.82227 1.15014 674.038 986.375 683 0.55 0.9 167873 0.6 -2322.54 -816252 0.595655 -5.03843e-20 9.37901e-21 0.236505 2.83819e-21 -3.1825e-21 -4.20579e-19 2.21806e-19 1.83822e-21 2.21893e-21 -8.80535e-20 -5.07272e-21 -2.31542e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 -8.53321e-19 2.60289e-19 5.99451e-19 0.16784 -3.23139e-19 3.74203e-19 -1.44277e-27 -1.32146e-19 -6.38943e-32 -7.62247e-21 -1.57239e-25 7.93532e-21 
0.005725 301.847 303.048 0.587944 0.86 2620 3.79598 1.15014 680.505 986.375 683 0.55 0.9 168458 0.6 -3330.76 -201596 0.595655 -5.04009e-20 2.28486e-25 0.236505 3.29891e-19 -5.62942e-19 -5.4232e-23 2.1043e-19 3.39081e-19 4.28966e-19 -8.80535e-20 -1.11056e-18 -2.32017e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 -1.32468e-19 2.60289e-19 5.99451e-19 0.16784 -3.26621e-19 7.45394e-20 -1.42709e-27 -2.41746e-20 4.60336e-34 -8.68849e-19 -1.5725e-25 7.93532e-21 
0.01145 305.497 307.857 0.595054 0.86 2620 3.75302 1.15014 690.547 986.375 683 0.55 0.9 169614 0.6 -7095.13 -401433 0.595655 -5.04215e-20 5.84321e-30 0.236505 3.79444e-19 -5.64621e-19 -1.82372e-25 2.00087e-19 3.59158e-19 5.19857e-19 -8.80535e-20 -1.28507e-18 -2.3211e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 -1.90435e-20 2.60289e-19 5.99451e-19 0.16784 -3.32737e-19 1.34878e-20 -1.40512e-27 -4.14766e-21 -5.2482e-38 -9.04271e-19 -1.5726e-25 7.93532e-21 
0.017175 312.041 316.228 0.6078 0.86 2620 3.68016 1.15014 707.564 986.375 683 0.55 0.9 171689 0.6 -16057.7 -725979 0.595655 -5.01327e-20 -7.46264e-35 0.236505 3.67239e-19 -5.40607e-19 2.2595e-24 1.9102e-19 3.76754e-19 5.37351e-19 -8.80535e-20 -1.31107e-18 -2.32121e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 -2.41319e-21 2.60289e-19 5.99451e-19 0.16784 -3.38393e-19 2.05761e-21 -1.37578e-27 -6.37554e-22 -6.50623e-38 -8.60731e-19 -1.57269e-25 7.93532e-21 
0.0229 323.829 331.229 0.63076 0.86 2620 3.55762 1.15014 736.641 986.375 683 0.55 0.9 175433 0.6 -38959.7 -1.29552e+06 0.595655 -3.56095e-20 8.10626e-31 0.236505 3.33607e-19 -5.01281e-19 3.62152e-24 1.8354e-19 3.9127e-19 5.4015e-19 -8.80535e-20 -1.31465e-18 -2.32101e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 -2.52236e-22 2.60289e-19 5.99451e-19 0.16784 -3.41909e-19 2.32489e-22 -1.33018e-27 -8.1558e-23 -5.90234e-38 -7.8757e-19 -1.57276e-25 7.93532e-21 
0.028625 345.499 358.683 0.67297 0.86 2620 3.42679 1.15014 785.422 986.375 683 0.55 0.9 182327 0.6 -95452.2 -2.37571e+06 0.595655 6.10019e-19 -9.74026e-32 0.236505 2.73076e-19 -4.33135e-19 6.06192e-24 1.77966e-19 4.02078e-19 5.4046e-19 -8.80535e-20 -1.31485e-18 -2.32011e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 -9.74257e-24 2.60289e-19 5.99451e-19 0.16784 -3.38897e-19 1.56602e-23 -1.23673e-27 -7.62954e-24 -5.20538e-38 -6.69288e-19 -1.5726e-25 7.93532e-21 
0.0314875 361.945 381.455 0.705004 0.86 2620 3.29712 1.15014 821.878 986.375 683 0.55 0.9 187563 0.6 -186752 -3.65708e+06 0.595655 1.11286e-17 1.01971e-29 0.236505 2.30564e-19 -3.8543e-19 8.24982e-24 1.75682e-19 4.06503e-19 5.4047e-19 -8.80535e-20 -1.31466e-18 -2.31899e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 1.22384e-23 2.60289e-19 5.99451e-19 0.16784 -3.3394e-19 1.41058e-24 -1.16048e-27 -8.98636e-25 1.03612e-37 -5.89253e-19 -1.56917e-25 7.93532e-21 
0.03435 386.285 414.211 0.752414 0.86 2620 3.13039 1.15014 868.611 986.375 683 0.55 0.9 195307 0.6 -417406 -5.37688e+06 0.595655 2.32044e-16 2.29635e-29 0.236505 1.69723e-19 -3.17081e-19 1.14336e-23 1.73927e-19 4.09976e-19 5.4044e-19 -8.80535e-20 -1.31426e-18 -2.31526e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 1.7586e-23 2.60289e-19 5.99451e-19 0.16784 -3.22819e-19 7.96949e-26 -1.01571e-27 2.49834e-25 7.89054e-37 -4.78175e-19 -1.36071e-25 7.93532e-21 
0.0372125 422.795 462.785 0.823527 0.86 2620 2.92051 1.15014 927.188 986.375 683 0.55 0.9 206891 0.6 -958136 -7.5797e+06 0.595655 4.57318e-15 -1.34067e-30 0.236505 9.2121e-20 -2.29617e-19 1.40498e-23 1.72693e-19 4.19244e-19 5.40287e-19 -8.80535e-20 -1.31366e-18 -2.29833e-20 8.72082e-21 7.36594e-21 -8.52568e-20 -2.25573e-19 1.60558e-23 2.60289e-19 5.9945e-19 0.16784 -3.0294e-19 2.44326e-27 -6.89735e-28 5.21469e-25 8.54553e-37 -3.16148e-19 1.25742e-24 7.93534e-21 
0.040075 478.568 536.117 0.932163 0.86 2620 2.74282 1.15014 996.375 986.375 683 0.55 0.9 224449 0.6 -2.12689e+06 -1.1093e+07 0.595655 8.25044e-14 -4.45688e-29 0.236505 2.67052e-20 -1.55076e-19 1.12641e-23 1.7219e-19 8.64179e-19 5.39351e-19 -8.80535e-20 -1.31302e-18 -2.19939e-20 8.72082e-21 7.36593e-21 -8.52568e-20 -2.25573e-19 9.79923e-24 2.60289e-19 5.99447e-19 0.16784 -2.77954e-19 3.53536e-29 1.55002e-28 6.15655e-25 -5.00976e-36 8.57294e-19 8.37856e-24 7.93539e-21 
0.0415063 515.121 587.585 1.00336 0.86 2620 2.6015 1.15014 1034.59 986.375 683 0.55 0.9 235832 0.6 -3.47762e+06 -1.4569e+07 0.595655 5.97645e-13 1.64395e-30 0.236505 8.42714e-21 -1.23098e-19 6.17996e-24 1.7821e-19 1.07229e-17 5.3817e-19 -8.80535e-20 -1.31272e-18 -2.07071e-20 8.72082e-21 7.36588e-21 -8.52568e-20 -2.25572e-19 6.68659e-24 2.60289e-19 5.99428e-19 0.16784 -2.66193e-19 6.86419e-31 8.49159e-28 6.2675e-25 6.99223e-37 1.62185e-17 8.93313e-23 7.93545e-21 
