#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.753609 0.86 2620 3.82895 1.15014 674.039 986.375 683 0.55 0.9 220141 0.6 -925.611 -9.2858e+09 0.652508 0.00721198 -1.49179e-19 0.198119 -3.56978e-19 -6.71138e-22 -1.74199e-25 -9.32345e-19 -2.63242e-20 -3.40941e-19 -2.34469e-19 3.50084e-21 3.5711e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 7.27037e-19 -6.29556e-19 1.32823e-20 0.142161 3.26078e-19 -6.09756e-19 -4.02315e-24 -1.15104e-21 5.81688e-34 1.40979e-21 1.36427e-19 1.46732e-19 
0.0051 300.63 301.077 0.755191 0.86 2620 3.8194 1.15014 676.332 986.375 683 0.55 0.9 220388 0.6 -1339.03 -97700.1 0.652508 0.00721198 -6.6888e-24 0.198119 -7.15958e-19 -1.2731e-19 -2.24136e-23 -9.32343e-19 -5.19098e-18 -1.22611e-18 -2.34469e-19 8.2692e-19 3.56801e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 1.89218e-19 -6.29556e-19 1.32823e-20 0.142161 3.17515e-19 -1.97886e-19 -4.02306e-24 -3.44626e-22 -1.40947e-32 1.52514e-19 1.36427e-19 1.46732e-19 
0.0102 301.913 302.821 0.758414 0.86 2620 3.8031 1.15014 680.027 986.375 683 0.55 0.9 220890 0.6 -2700.47 -199865 0.652508 0.00721198 -2.53537e-25 0.198119 -7.48466e-19 -2.65443e-19 -2.44001e-23 -9.32341e-19 -5.38435e-18 -1.51724e-18 -2.34469e-19 1.04116e-18 3.56724e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 4.75952e-20 -6.29556e-19 1.32823e-20 0.142161 2.91312e-19 -6.24149e-20 -4.02298e-24 -1.045e-22 -5.64277e-34 1.03579e-19 1.36427e-19 1.46732e-19 
0.0153 304.274 305.94 0.764345 0.86 2620 3.77408 1.15014 686.568 986.375 683 0.55 0.9 221813 0.6 -5559.31 -369467 0.652508 0.00721198 -2.77514e-25 0.198119 -6.77559e-19 -4.01931e-19 -2.39988e-23 -9.3234e-19 -5.58928e-18 -1.61144e-18 -2.34469e-19 1.09257e-18 3.5667e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 1.07457e-20 -6.29556e-19 1.32823e-20 0.142161 2.42427e-19 -1.86738e-20 -4.02288e-24 -7.26257e-23 -6.82146e-34 3.10633e-20 1.36427e-19 1.46732e-19 
0.0204 308.598 311.629 0.775208 0.86 2620 3.72227 1.15014 698.288 986.375 683 0.55 0.9 223498 0.6 -12046.6 -681321 0.652508 0.00721198 -3.08199e-25 0.198119 -5.73247e-19 -5.37178e-19 -2.35766e-23 -9.32347e-19 -5.80396e-18 -1.64094e-18 -2.34469e-19 1.0996e-18 3.56618e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 1.32108e-21 -6.29556e-19 1.32823e-20 0.142161 1.64768e-19 -5.06805e-21 -4.02275e-24 -5.47924e-23 -9.05941e-34 -1.9522e-20 1.36427e-19 1.46732e-19 
0.0255 316.611 322.159 0.795336 0.86 2620 3.63066 1.15014 719.274 986.375 683 0.55 0.9 226605 0.6 -27377.7 -1.25629e+06 0.652508 0.00721198 -3.67684e-25 0.198119 -4.52248e-19 -6.78683e-19 -2.42863e-23 -9.33728e-19 -6.0316e-18 -1.64966e-18 -2.34469e-19 1.09332e-18 3.56537e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 -9.5985e-22 -6.29556e-19 1.32823e-20 0.142161 4.7043e-20 -1.14649e-21 -4.02253e-24 -4.74915e-23 -1.48603e-33 -3.64796e-20 1.36427e-19 1.46732e-19 
0.0306 331.711 341.954 0.833269 0.86 2620 3.52846 1.15014 756.358 986.375 683 0.55 0.9 232412 0.6 -60902 -2.37121e+06 0.652508 0.00721198 -4.90219e-25 0.198119 -3.11484e-19 -8.38614e-19 -2.67183e-23 -1.18597e-18 -5.79502e-18 -1.65204e-18 -2.34469e-19 1.08208e-18 3.56367e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 -1.23026e-21 -6.29556e-19 1.32823e-20 0.142161 -1.30279e-19 -1.84412e-22 -4.02199e-24 -3.84869e-23 -3.4526e-33 -1.6052e-20 1.36427e-19 1.46732e-19 
0.03315 343.28 358.693 0.86233 0.86 2620 3.42307 1.15014 785.438 986.375 683 0.55 0.9 236821 0.6 -105838 -3.68878e+06 0.652508 0.00721198 -5.78411e-25 0.198119 -2.35403e-19 -9.24539e-19 -2.81263e-23 -1.30001e-18 -5.70302e-18 -1.65251e-18 -2.34469e-19 1.07577e-18 3.56231e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 -1.09045e-21 -6.29556e-19 1.32823e-20 0.142161 -2.3844e-19 -4.10005e-23 -4.02148e-24 -3.25627e-23 -6.01568e-33 4.43385e-21 1.36427e-19 1.46732e-19 
0.0357 360.517 382.954 0.905628 0.86 2620 3.28355 1.15014 824.16 986.375 683 0.55 0.9 243333 0.6 -202277 -5.37522e+06 0.652508 0.00721198 -6.73966e-25 0.198119 -1.54438e-19 -1.01586e-18 -2.90813e-23 -1.39904e-18 -5.63336e-18 -1.65273e-18 -2.34469e-19 1.06943e-18 3.5598e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 -7.9817e-22 -6.29556e-19 1.32823e-20 0.142161 -3.65638e-19 -6.56612e-24 -4.02031e-24 -2.49222e-23 -1.19167e-32 3.07703e-20 1.36427e-19 1.46732e-19 
0.03825 386.309 418.891 0.97042 0.86 2620 3.15831 1.15014 874.783 986.375 683 0.55 0.9 252961 0.6 -377335 -7.83383e+06 0.652508 0.00721198 -6.39668e-25 0.198119 -7.72969e-20 -1.10293e-18 -2.66773e-23 -1.48056e-18 -5.5618e-18 -1.65288e-18 -2.34469e-19 1.06402e-18 3.55406e-22 3.72379e-19 -3.64454e-19 3.57851e-19 1.45264e-19 -4.48186e-22 -6.29556e-19 1.32823e-20 0.142161 -4.9711e-19 -6.61597e-25 -4.01683e-24 -1.62458e-23 -2.27534e-32 5.10234e-20 1.36427e-19 1.46732e-19 
