# x u T N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
0.000000000000000000e+00 2.844871108262449211e-02 3.000000000000000000e+02 6.674060823458827230e-01 3.386110887868483172e-04 8.009508197796183536e-15 1.764435128276136133e-01 1.165115135999687373e-17 3.853948155796524389e-02 1.212788587796440809e-11 1.187041815373528811e-06 5.618316193990662015e-09 1.471293650551134443e-05 2.355104438090584054e-04 4.457952220794236780e-06 8.686548453487407612e-07 9.481199732303759188e-08 2.201114902180102540e-06 1.468360965497201455e-09 1.056563449138190087e-05 3.165948841455086089e-10 2.137250118935523176e-07 7.248033842570837625e-09 1.169870036470222474e-01 6.502851585350860586e-06 6.054031987922121958e-16 4.641856234721393994e-15 -2.624878187343248282e-17 2.252149382156555043e-15 3.401400512495846538e-09 8.949913597835750198e-06 2.538709746303745477e-08
1.953125000000000379e-05 2.916084309698576890e-02 3.074368579155118937e+02 6.676526292291821152e-01 3.409894186197857924e-04 8.045886415438498715e-15 1.758218966595806454e-01 1.181689662908341155e-17 3.947075259218130877e-02 1.233053151982704675e-11 1.217686004907996718e-06 5.762420079864363871e-09 1.509583921691948001e-05 2.436151414407753562e-04 4.595101706410819768e-06 8.911354516871646769e-07 9.774010355849940931e-08 2.269092608741012675e-06 1.519734290027703898e-09 1.084090015571766780e-05 3.248430835629204360e-10 2.193335871017526199e-07 7.436951477526697319e-09 1.164189298129099798e-01 6.732417870236897260e-06 5.108527664203647708e-16 4.836832474632237479e-15 -8.146047683848084912e-19 2.310364309021509110e-15 3.456190747918491046e-09 9.183190467209021319e-06 2.619412479018692767e-08
3.906250000000000759e-05 2.987580605647734144e-02 3.149000166183597003e+02 6.679028153846866545e-01 3.433441629726140666e-04 9.904803412717367582e-15 1.751966203059136251e-01 1.174849309508695223e-17 4.040203162841228546e-02 1.248653223621744251e-11 1.248516164760929051e-06 6.116670631242854429e-09 1.548185507922506020e-05 2.518247429479440443e-04 4.734009758897874346e-06 9.134449192511596769e-07 1.007863323793365188e-07 2.337112696468711115e-06 1.571029428975107139e-09 1.111821592513912154e-05 3.322083414398659321e-10 2.249791721954548189e-07 7.628278651782813307e-09 1.158507750513759621e-01 6.965201093668162751e-06 4.290329498858378773e-16 5.105726457108647372e-15 4.890186354707855039e-18 2.415122616202454376e-15 3.667672588650243662e-09 9.418214855294470246e-06 2.705472616171698124e-08
5.859375000000001138e-05 3.059350627837658168e-02 3.223884726507511687e+02 6.681567013777530706e-01 3.456762633636502801e-04 1.251309972204998975e-14 1.745676610880961821e-01 1.163629031433214068e-17 4.133334250668955351e-02 1.299665616206865145e-11 1.279534228032664616e-06 6.680699007183342722e-09 1.587101054205114351e-05 2.601395379862938033e-04 4.874752614514330004e-06 9.355601935279928060e-07 1.039192908358119433e-07 2.405128704035713451e-06 1.622286431765849877e-09 1.139759928744725584e-05 3.391237931165161697e-10 2.306621359538575044e-07 7.822100880928486970e-09 1.152824763342645137e-01 7.201213177627552759e-06 3.585115028274827932e-16 5.457514325826621130e-15 8.235325276998066529e-18 2.616289842958239625e-15 4.029470645504903211e-09 9.655032304673023759e-06 2.796577519019124090e-08
7.812500000000001518e-05 3.131385715757695892e-02 3.299012974705610191e+02 6.684143418414716376e-01 3.479866058465592798e-04 1.603077820934335777e-14 1.739349958441826771e-01 1.164229650274173484e-17 4.226471357146982522e-02 1.386131337153593800e-11 1.310741761450991872e-06 7.460352890819630563e-09 1.626335092665568151e-05 2.685598394925987290e-04 5.017396745310050448e-06 9.574574143383784804e-07 1.071171560503053023e-07 2.473093525987179843e-06 1.673524070394182335e-09 1.167906724336002414e-05 3.459485676179460891e-10 2.363828361145055340e-07 8.018539313948762475e-09 1.147139725496571505e-01 7.440466693328752487e-06 2.979892716291801636e-16 5.902894209866135816e-15 1.263540133981487818e-17 2.910826745365235700e-15 4.542437789435451052e-09 9.893684187418761393e-06 2.892552920218597950e-08
9.765625000000001897e-05 3.203677875612857134e-02 3.374376330643067377e+02 6.686757861391555702e-01 3.502760252515554093e-04 2.069374262435628517e-14 1.732986010772784025e-01 1.201529930098310530e-17 4.319617687466217187e-02 1.505616740896332444e-11 1.342139994879157152e-06 8.466874597636303650e-09 1.665893741905004035e-05 2.770859813735815683e-04 5.162002051972749374e-06 9.791119128529118701e-07 1.103638385946370767e-07 2.540959317480316830e-06 1.724744026314520918e-09 1.196263633078574916e-05 3.529849763907518839e-10 2.421416195520773539e-07 8.217749614474066697e-09 1.141452044916015790e-01 7.682974816149481921e-06 2.462891617056733315e-16 6.454662445289756699e-15 1.963149748820571552e-17 3.299586969418952857e-15 5.212713421294268223e-09 1.013420867142686999e-05 2.993312387320288076e-08
1.171875000000000228e-04 3.276219739835356526e-02 3.449966876256364117e+02 6.689410789528240642e-01 3.525453090286341778e-04 2.678579400784797504e-14 1.726584530832290243e-01 1.321688360034404749e-17 4.412776748136354454e-02 1.656582403363044677e-11 1.373729838846861318e-06 9.716295620190634080e-09 1.705784505770674634e-05 2.857183163342563335e-04 5.308623659983422024e-06 1.000498209037266227e-06 1.136467792748176072e-07 2.608677442116361385e-06 1.775935452763754736e-09 1.224832264893114258e-05 3.604902806696763967e-10 2.479388224562403181e-07 8.419922023799672257e-09 1.135761148402428117e-01 7.928751277114926677e-06 2.023456657008189164e-16 7.128155650151714757e-15 3.098301822304680597e-17 3.786393375869617942e-15 6.050653668092208005e-09 1.037664135532851080e-05 3.098832947615978465e-08
1.367187500000000130e-04 3.349004527646711610e-02 3.525777313507240365e+02 6.692102608056436086e-01 3.547952007376419296e-04 3.464632466024368076e-14 1.720145280598614768e-01 1.612198051038674865e-17 4.505952286662114753e-02 1.838439081668719295e-11 1.405511892978344307e-06 1.122904973054916650e-08 1.746016140212858605e-05 2.944572138695658592e-04 5.457312926162878422e-06 1.021590009549211250e-06 1.169556513799415484e-07 2.676198446158691169e-06 1.827078289909486273e-09 1.253614188221412084e-05 3.686850114860475452e-10 2.537747705875647530e-07 8.625282215565388558e-09 1.130066481343313806e-01 8.177810318010358604e-06 1.651952132291939083e-16 7.941768503358072743e-15 4.932552363468081570e-17 4.377466638833802792e-15 7.070174142612038714e-09 1.062101568828511530e-05 3.209139080062053581e-08
1.562500000000000304e-04 3.422026007011409743e-02 3.601800923859073009e+02 6.694833685255513478e-01 3.570264032239418460e-04 4.468103049056107034e-14 1.713668021999180946e-01 2.236442162363745987e-17 4.599148239282319084e-02 2.051358153308769138e-11 1.437486447278173526e-06 1.302974656128277266e-08 1.786598567508552359e-05 3.033030584249114944e-04 5.608117980429394179e-06 1.042360206841507570e-06 1.202815787240879637e-07 2.743472049332286588e-06 1.878145603209996806e-09 1.282610932400132248e-05 3.777591008693040810e-10 2.596497795844835094e-07 8.834092763152797596e-09 1.124367507375282765e-01 8.430166649876734815e-06 1.339674722639120721e-16 8.917564466178511334e-15 7.873440528798225980e-17 5.081065885172140789e-15 8.288336075632922551e-09 1.086736324712002849e-05 3.324292020123750156e-08
1.757812500000000477e-04 3.495278458207526362e-02 3.678031529508004951e+02 6.697604356565302064e-01 3.592395815134264629e-04 5.737473809560959295e-14 1.707152517697110294e-01 3.493131578023954793e-17 4.692368685828892522e-02 2.296118303072848529e-11 1.469653477623952416e-06 1.514706267660377379e-08 1.827542823785277182e-05 3.122562477215198515e-04 5.761083981893690073e-06 1.062780880731660820e-06 1.236166546409142591e-07 2.810447146139591394e-06 1.929105245826312470e-09 1.311823990021465036e-05 3.878766294215054893e-10 2.655641552978300602e-07 9.046655105108789011e-09 1.118663707996783580e-01 8.685835413882673074e-06 1.078776220776580204e-16 1.008199992842265463e-14 1.254944439909527638e-16 5.907265857734954134e-15 9.725088035678264529e-09 1.111571391718367202e-05 3.444382615582014595e-08
