#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.0284514 0.8 4320 0.378646 1 574.643 1591.82 1340.4 0.55 0.9 120879 0.6 0 -1.8022e+08 0.667575 0.000336925 1.30443e-14 0.176082 6.52644e-19 0.0389801 1.34453e-11 1.20069e-06 6.65469e-09 1.48784e-05 0.000241236 4.53292e-06 8.74603e-07 9.94797e-08 2.25414e-06 1.48616e-09 1.06763e-05 3.16329e-10 2.17124e-07 7.43137e-09 0.116733 6.60444e-06 5.32174e-18 5.22977e-15 9.3169e-18 2.63481e-15 4.12193e-09 9.01647e-06 2.63554e-08 
5.85938e-05 321.842 300.771 0.0305438 0.8 4320 0.378306 1 575.567 1591.82 1340.4 0.55 0.9 125726 0.6 0 76179.1 0.668304 0.000343746 1.32177e-14 0.174269 6.83439e-19 0.0416769 1.40921e-11 1.28987e-06 7.14573e-09 1.59925e-05 0.000265078 4.93355e-06 9.39708e-07 1.08306e-07 2.45413e-06 1.6354e-09 1.14771e-05 3.40057e-10 2.33512e-07 7.98851e-09 0.115087 7.27421e-06 3.19748e-18 5.75837e-15 9.6073e-18 2.8309e-15 4.31302e-09 9.69245e-06 2.87623e-08 
0.000117188 343.925 301.541 0.0326619 0.8 4320 0.377968 1 576.488 1591.82 1340.4 0.55 0.9 130601 0.6 0 75916.4 0.669064 0.000350391 2.58788e-14 0.172422 3.98528e-18 0.0443779 1.66705e-11 1.38072e-06 9.6419e-09 1.71351e-05 0.000289824 5.35047e-06 1.00294e-06 1.17807e-07 2.65375e-06 1.78391e-09 1.22963e-05 3.59114e-10 2.50237e-07 8.56952e-09 0.113437 7.97139e-06 1.84445e-18 7.12572e-15 2.92613e-17 3.75628e-15 5.94408e-09 1.03845e-05 3.16139e-08 
0.000175781 366.226 302.312 0.0348037 0.8 4320 0.377631 1 577.406 1591.82 1340.4 0.55 0.9 135496 0.6 0 75655.2 0.669858 0.000356879 5.30495e-14 0.170542 2.68565e-17 0.0470834 2.21751e-11 1.47327e-06 1.4428e-08 1.83075e-05 0.000315482 5.7852e-06 1.06365e-06 1.27567e-07 2.85176e-06 1.93183e-09 1.31341e-05 3.82355e-10 2.67305e-07 9.17856e-09 0.111782 8.69634e-06 1.02456e-18 9.68824e-15 1.086e-16 5.60891e-15 9.15504e-09 1.10936e-05 3.48836e-08 
0.000234375 388.728 303.082 0.0369675 0.8 4320 0.377295 1 578.32 1591.82 1340.4 0.55 0.9 140404 0.6 0 75395.7 0.670685 0.000363225 1.06509e-13 0.168627 1.57919e-16 0.0497943 3.05965e-11 1.56753e-06 2.21438e-08 1.95123e-05 0.000342064 6.23895e-06 1.12113e-06 1.37353e-07 3.04684e-06 2.07858e-09 1.3991e-05 4.15244e-10 2.84723e-07 9.82268e-09 0.110121 9.44943e-06 5.65383e-19 1.40626e-14 4.03886e-16 8.59248e-15 1.43789e-08 1.18205e-05 3.85852e-08 
0.000292969 411.416 303.853 0.039152 0.8 4320 0.37696 1 579.23 1591.82 1340.4 0.55 0.9 145320 0.6 0 75137.6 0.671548 0.000369442 2.06104e-13 0.166678 7.99286e-16 0.0525114 4.23295e-11 1.66346e-06 3.37475e-08 2.07527e-05 0.00036958 6.71269e-06 1.17462e-06 1.46993e-07 3.23763e-06 2.22321e-09 1.48672e-05 4.6133e-10 3.02497e-07 1.05122e-08 0.108453 1.02311e-05 3.50912e-19 2.13052e-14 1.41344e-15 1.30483e-14 2.22662e-08 1.25659e-05 4.27525e-08 
0.000351563 434.279 304.624 0.0413563 0.8 4320 0.376627 1 580.138 1591.82 1340.4 0.55 0.9 150239 0.6 0 74881.2 0.672446 0.000375542 3.85153e-13 0.164693 3.53686e-15 0.0552353 5.80543e-11 1.76102e-06 5.05259e-08 2.2033e-05 0.000398042 7.20714e-06 1.22329e-06 1.56336e-07 3.42271e-06 2.36462e-09 1.57631e-05 5.23276e-10 3.20634e-07 1.12616e-08 0.106776 1.10417e-05 3.22006e-19 3.32098e-14 4.58228e-15 1.94446e-14 3.36704e-08 1.33303e-05 4.74341e-08 
0.000410156 457.309 305.394 0.0435794 0.8 4320 0.376294 1 581.041 1591.82 1340.4 0.55 0.9 155158 0.6 0 74626.2 0.67338 0.000381535 6.99577e-13 0.162673 1.39243e-14 0.0579671 7.87012e-11 1.86011e-06 7.41191e-08 2.3358e-05 0.000427461 7.72268e-06 1.2663e-06 1.65243e-07 3.60061e-06 2.50163e-09 1.66789e-05 6.03727e-10 3.39139e-07 1.20898e-08 0.105091 1.18817e-05 4.93214e-19 5.28033e-14 1.37653e-14 2.83899e-14 4.96586e-08 1.41141e-05 5.269e-08 
0.00046875 480.499 306.165 0.0458209 0.8 4320 0.375963 1 581.942 1591.82 1340.4 0.55 0.9 160074 0.6 0 74372.7 0.67435 0.000387429 1.24336e-12 0.160616 4.95334e-14 0.0607074 1.05466e-10 1.9606e-06 1.06544e-07 2.47338e-05 0.000457848 8.25926e-06 1.30282e-06 1.73586e-07 3.76982e-06 2.63297e-09 1.7615e-05 7.06023e-10 3.58016e-07 1.30223e-08 0.103395 1.27516e-05 1.00595e-18 8.51576e-14 3.85327e-14 4.06635e-14 7.15396e-08 1.49176e-05 5.85913e-08 
0.000527344 503.844 306.935 0.0480802 0.8 4320 0.375633 1 582.839 1591.82 1340.4 0.55 0.9 164984 0.6 0 74120.8 0.675356 0.000393233 2.17464e-12 0.158523 1.61309e-13 0.0634571 1.39863e-10 2.06231e-06 1.50204e-07 2.61671e-05 0.000489218 8.81634e-06 1.33204e-06 1.81248e-07 3.92876e-06 2.75735e-09 1.85716e-05 8.34791e-10 3.77271e-07 1.40917e-08 0.10169 1.36517e-05 2.2697e-18 1.38691e-13 1.01256e-13 5.72653e-14 1.0091e-07 1.57411e-05 6.52185e-08 
