# x u T N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
0.000000000000000000e+00 7.031718604842776554e-02 3.000000000000000000e+02 6.582839867076407669e-01 -1.410453640186973453e-15 -9.986716157090474101e-15 1.998725732701104318e-01 4.106335869418624203e-14 1.459966427187532776e-15 1.112476662432140305e-16 5.792635393354128252e-14 -4.883419919256498592e-15 4.113075890296308108e-15 -2.193584011449789425e-14 4.006537370156721713e-18 -3.657964003782660825e-14 -5.148366614130448381e-16 6.586671951582215322e-14 1.335384729708285503e-16 4.816181528181880537e-15 5.325356251876185070e-17 -2.664705005355389231e-14 -2.158582365182126904e-13 1.418434400219560076e-01 -1.354102597501234532e-13 6.216454920101596303e-14 2.385148751834565809e-13 6.012171937986310786e-17 7.899693049586420375e-29 3.776681101540820738e-15 -6.574210204976881121e-14 3.319709625688475372e-13
1.000000000000000194e-02 7.031718604802783545e-02 2.999999999980921643e+02 6.582839867076208940e-01 3.247969628230659328e-14 -2.222161503626097014e-20 1.998725732702184288e-01 7.328092402861861349e-14 4.837645126034127660e-14 3.696363426526371523e-19 -5.390306455977527549e-14 -1.679453233252622161e-13 1.433850559080067414e-13 -2.193671116497753367e-14 1.172126526612811341e-16 -3.656884109825643382e-14 -5.148087128124733389e-16 6.586646732207816222e-14 1.335384698124598331e-16 4.816937431086674241e-15 5.589629386657713277e-19 -2.665054160288508114e-14 -2.158097495904956382e-13 1.418434400218627767e-01 -1.351904979470512534e-13 1.341090231302521199e-15 2.383843015239942974e-13 7.043308066081724838e-17 2.737445179096446095e-27 8.230622024026969310e-14 -6.563873341426292636e-14 3.318439870724737475e-13
2.000000000000000389e-02 7.031718604825469565e-02 2.999999999978573442e+02 6.582839867074463669e-01 3.687832104030686284e-13 -1.186178258571878118e-23 1.998725732700630808e-01 4.967825839109490330e-14 7.735531820925595272e-14 2.276733816503383627e-19 -1.416859128627936853e-13 2.194256401244246778e-15 1.466465641922066778e-13 -2.193725121092805406e-14 1.191349268238578572e-15 -3.656258238523290227e-14 -5.136525564777245279e-16 6.586636543214329788e-14 1.335385019836906066e-16 4.818192745159597411e-15 1.126861611476462480e-17 -2.665354606242689045e-14 -2.157631001836223363e-13 1.418434400217145896e-01 -1.254012065605609224e-13 2.927226218604522196e-17 2.382547943268350971e-13 3.403840808407031933e-18 8.357451868400785386e-28 1.235844806132934012e-13 -6.557531699154418154e-14 3.318035610791655302e-13
2.500000000000000486e-02 7.031718604930732586e-02 2.999999999977160314e+02 6.582839867067766804e-01 1.661280033641546751e-12 -6.244030037917104250e-25 1.998725732697636814e-01 3.973343812285344652e-14 8.882060941761150704e-14 1.808684046094669728e-19 -1.801473201711165245e-13 7.682124498442931612e-14 1.467492047337809684e-13 -2.193725391599840024e-14 1.215950376947935317e-15 -3.655955973290296992e-14 -5.134910892176237175e-16 6.586633192423868729e-14 1.335385244912553842e-16 4.818922398100666087e-15 8.161817437087229525e-19 -2.665493800820412774e-14 -2.157412924951571529e-13 1.418434400213331170e-01 -1.253119486333304279e-13 1.280922089567605280e-18 2.381902739432704314e-13 2.641483070795340275e-19 5.141253098671075724e-28 1.438574477181262509e-13 -6.554972727459530014e-14 3.317815924447832468e-13
3.000000000000000583e-02 7.031718605520112519e-02 2.999999999975768787e+02 6.582839867031212711e-01 8.716124895792741930e-12 -3.329689742141211249e-25 1.998725732682968548e-01 3.175936564579034869e-14 9.798006599729712602e-14 1.445044121150268982e-19 -2.134920322582368811e-13 1.415100120463361423e-13 1.467822967783248004e-13 -2.193714726197853100e-14 1.004056401686784046e-15 -3.655637013765068192e-14 -5.134970379557118329e-16 6.586630199968397389e-14 1.335385451074882762e-16 4.819666361118985335e-15 -4.166943696918964448e-18 -2.665621908245443269e-14 -2.157213672842945662e-13 1.418434400193518963e-01 -1.272783163595531214e-13 5.605105775195451483e-20 2.381259459825575927e-13 5.424028605565187071e-20 4.775648010260379401e-28 1.621024308256773745e-13 -6.552842505944391204e-14 3.317597882973482615e-13
3.500000000000000333e-02 7.031718608752285382e-02 2.999999999974677962e+02 6.582839866831691200e-01 4.722369989250625372e-11 -4.053966380405729519e-25 1.998725732604381966e-01 2.538391605577079049e-14 1.053045940956674556e-13 1.155199592611579854e-19 -2.382686448197995708e-13 1.895587938506719927e-13 1.468117378883990123e-13 -2.193702384428892802e-14 7.510683408185127054e-16 -3.655280937914735038e-14 -5.135164390350215197e-16 6.586626763995448364e-14 1.335385642227145030e-16 4.820250623139724057e-15 -5.136812362751806828e-18 -2.665725495857619967e-14 -2.157037520073533052e-13 1.418434400086182601e-01 -1.295764605019315149e-13 2.451898599537091355e-21 2.380618305224232063e-13 4.856756752503681157e-20 6.067245061536746740e-28 1.773824835139382713e-13 -6.551029774217574461e-14 3.317394591188253844e-13
4.000000000000000777e-02 7.031718626406614769e-02 2.999999999973906029e+02 6.582839865742634577e-01 2.574100413365894175e-10 -4.231574997668835302e-25 1.998725732176529490e-01 2.028758338510206597e-14 1.112119156884988932e-13 9.235728619176304069e-20 -2.562124750432679385e-13 2.243367688585956111e-13 1.468408457102977821e-13 -2.193693805988745618e-14 5.745787556563364025e-16 -3.654892599860703296e-14 -5.134589705377077615e-16 6.586622469313936108e-14 1.335385821585747440e-16 4.820707537276556177e-15 -3.674729347149504836e-18 -2.665809188230531003e-14 -2.156883807650164311e-13 1.418434399500950183e-01 -1.311742501185813342e-13 1.064380265747971182e-22 2.379978908273724225e-13 6.083160586558118871e-20 8.211925710871452565e-28 1.893032759596440239e-13 -6.549469015460879367e-14 3.317212180166549307e-13
4.500000000000000527e-02 7.031718722778251829e-02 2.999999999973503577e+02 6.582839859798235160e-01 1.404672337170771146e-09 -3.908248464396305146e-25 1.998725729841977494e-01 1.621327917146175847e-14 1.168215721599425161e-13 7.384046988528486050e-20 -2.687343341411150200e-13 2.485849518527097524e-13 1.468701025687280236e-13 -2.193691384696749032e-14 5.371627923118086777e-16 -3.654477070636435691e-14 -5.132786434682732942e-16 6.586617185183100376e-14 1.335385994041185839e-16 4.821200054416695261e-15 -9.073141107477702204e-19 -2.665876635950112256e-14 -2.156751081377530300e-13 1.418434396307064194e-01 -1.315247278980337690e-13 3.853453213499819496e-24 2.379340973226786083e-13 7.650210390025737935e-20 1.066786634946565624e-27 1.978398016189027012e-13 -6.548108338541999785e-14 3.317053292011494928e-13
5.000000000000000278e-02 7.031719248811976741e-02 2.999999999974508569e+02 6.582839827352008344e-01 7.666786109684173749e-09 -2.934444453335133987e-25 1.998725717099870125e-01 1.294661559488073265e-14 1.364468584767071929e-13 5.899379053957494583e-20 -2.770035201313084129e-13 2.645768450429641425e-13 1.469027774120894599e-13 -2.193686032270203438e-14 6.623321529608902714e-16 -3.654014989447876525e-14 -5.129604104476401877e-16 6.586611489076073803e-14 1.335386219273154292e-16 4.824224251032170999e-15 2.406484522594553393e-18 -2.665928732878401573e-14 -2.156637223442334897e-13 1.418434378873954238e-01 -1.304233245953945943e-13 -5.402281182940349143e-25 2.378704254183142509e-13 9.216414621873081053e-20 1.309412694604732972e-27 2.032473663433165568e-13 -6.546706829856756600e-14 3.316918002533648585e-13
5.250000000000000500e-02 7.031720391299726980e-02 2.999999999982313170e+02 6.582839756884014681e-01 2.126726194722154440e-08 -1.582152580770310423e-25 1.998725689426069652e-01 1.150408844930744858e-14 2.417082663329541145e-13 5.243759593634309110e-20 -2.801604363239506527e-13 2.706778535778770297e-13 1.469418646517920649e-13 -2.193592852439443500e-14 7.689589125444542586e-16 -3.653598377147974867e-14 -5.127633520524191185e-16 6.586613056948661756e-14 1.335386554894531289e-16 4.843353508698712664e-15 4.117446598585151196e-18 -2.665935629040047397e-14 -2.156584912072268554e-13 1.418434341009891519e-01 -1.294841294741755833e-13 -6.762941368941183922e-25 2.378386182107410311e-13 9.963173829304978727e-20 1.426124466457475255e-27 2.051667956270245137e-13 -6.544543360854388414e-14 3.316856418242625282e-13
