#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -109714 0.658284 1.59603e-16 -9.52166e-17 0.199873 -7.07465e-17 -1.60485e-17 3.97189e-20 -5.69037e-17 -2.1346e-16 -1.11432e-16 -3.7617e-17 -9.95845e-19 -1.90622e-16 -1.40367e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -1.79108e-19 2.56765e-15 -7.02099e-19 0.141843 1.82627e-17 -9.8156e-16 -4.59585e-16 -4.10348e-18 -5.57256e-32 -2.54265e-17 -1.09441e-16 -3.65762e-18 
0.00546875 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 7.23788e-10 0.658284 1.58561e-16 -4.27227e-22 0.199873 -8.87442e-16 -2.98139e-16 -4.0609e-21 -5.6906e-17 -4.11331e-15 -2.17476e-15 -3.7617e-17 -2.28572e-17 -1.90595e-16 -1.40366e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -3.95617e-19 2.56765e-15 -7.02201e-19 0.141843 -1.77904e-16 -3.9185e-17 -4.59452e-16 -4.18591e-20 -1.08144e-30 -3.14735e-16 -1.09441e-16 -3.65763e-18 
0.0109375 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 3.78827e-12 0.658284 1.57194e-16 -1.4289e-25 0.199873 -7.25444e-16 -5.26663e-16 -3.29462e-21 -5.6908e-17 -4.11466e-15 -2.2562e-15 -3.76171e-17 -5.46324e-17 -1.90567e-16 -1.40364e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -5.81883e-19 2.56765e-15 -7.02299e-19 0.141843 -4.61705e-16 -1.56431e-18 -4.5932e-16 1.66531e-20 -2.05106e-31 -4.21122e-16 -1.0944e-16 -3.65764e-18 
0.0164063 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -7.16211e-10 0.658284 1.55975e-16 -1.99595e-26 0.199873 -5.67181e-16 -7.05801e-16 -2.58309e-21 -5.69129e-17 -4.11487e-15 -2.25967e-15 -3.76171e-17 -9.26181e-17 -1.9054e-16 -1.40362e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -6.99537e-19 2.56765e-15 -7.0239e-19 0.141843 -7.99784e-16 -6.24489e-20 -4.59188e-16 -1.34418e-21 -2.53844e-31 -3.84742e-16 -1.0944e-16 -3.65766e-18 
0.021875 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -0.00802456 0.658284 1.56944e-16 -9.5629e-27 0.199873 -4.42458e-16 -8.45649e-16 -2.01656e-21 -5.6979e-17 -4.11485e-15 -2.26013e-15 -3.76171e-17 -1.33365e-16 -1.90512e-16 -1.40359e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -7.52472e-19 2.56765e-15 -7.02472e-19 0.141843 -1.16156e-15 -2.49305e-21 -4.59056e-16 -4.01191e-21 -2.8623e-31 -2.552e-16 -1.09441e-16 -3.65768e-18 
0.0273438 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 -7.008e-10 0.658284 1.71361e-16 -2.78789e-29 0.199873 -3.45106e-16 -9.54825e-16 -1.57415e-21 -5.8228e-17 -4.11243e-15 -2.26056e-15 -3.76171e-17 -1.74599e-16 -1.90485e-16 -1.40357e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -7.62656e-19 2.56765e-15 -7.02547e-19 0.141843 -1.52714e-15 -9.95254e-23 -4.58923e-16 -5.6863e-21 -3.07629e-31 -6.80672e-17 -1.09441e-16 -3.65769e-18 
0.0328125 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 0.0175988 0.658284 2.64916e-16 -2.37527e-29 0.199873 -2.68941e-16 -1.04018e-15 -1.22734e-21 -8.24096e-17 -4.06523e-15 -2.26098e-15 -3.76172e-17 -2.14915e-16 -1.90457e-16 -1.40354e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -7.4579e-19 2.56765e-15 -7.02613e-19 0.141843 -1.88422e-15 -4.0467e-24 -4.58791e-16 -5.61719e-21 -3.21817e-31 1.52035e-16 -1.09442e-16 -3.65771e-18 
0.0355469 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 1.41303e-13 0.658284 4.8603e-16 -2.17529e-29 0.199873 -2.35766e-16 -1.07744e-15 -1.07624e-21 -2.61249e-16 -3.71812e-15 -2.26119e-15 -3.76172e-17 -2.34679e-16 -1.90443e-16 -1.40353e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -7.31988e-19 2.56765e-15 -7.02648e-19 0.141843 -2.05922e-15 -3.28632e-25 -4.58725e-16 -5.51557e-21 -3.27407e-31 2.67934e-16 -1.09442e-16 -3.65772e-18 
0.0382813 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 0.179451 0.658284 1.24845e-15 -1.98858e-29 0.199873 -2.06683e-16 -1.11012e-15 -9.43759e-22 -4.64488e-16 -3.32367e-15 -2.26139e-15 -3.76172e-17 -2.53959e-16 -1.9043e-16 -1.40351e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -7.14351e-19 2.56765e-15 -7.02681e-19 0.141843 -2.22989e-15 -2.66882e-26 -4.58659e-16 -5.38315e-21 -3.31912e-31 3.87358e-16 -1.09443e-16 -3.65773e-18 
0.0410156 300 300 0.0703285 0.8 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 169451 0.6 0 0.0484861 0.658284 3.87212e-15 -1.81654e-29 0.199873 -1.81187e-16 -1.13877e-15 -8.27598e-22 -6.9392e-16 -2.87837e-15 -2.26159e-15 -3.76172e-17 -2.72682e-16 -1.90416e-16 -1.4035e-17 -1.07719e-15 6.8402e-17 -1.13889e-15 -6.93919e-19 2.56765e-15 -7.02713e-19 0.141843 -2.39558e-15 -2.16737e-27 -4.58593e-16 -5.22945e-21 -3.35541e-31 5.08662e-16 -1.09443e-16 -3.65773e-18 
