#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.682611 0.1 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 387745 0.6 0 -1.12726e+11 0.767091 -1.23331e-35 1.79802e-33 0.232909 6.44285e-32 -5.15042e-32 1.183e-30 -6.13814e-31 2.88562e-33 -3.40902e-32 -5.65722e-41 5.0775e-39 1.11444e-34 -2.54624e-51 -3.09611e-48 7.49281e-49 -1.0524e-52 1.84511e-37 -6.91852e-48 -3.45678e-59 1.65289e-11 2.24e-36 3.46844e-31 2.75781e-42 -4.54948e-31 1.74128e-46 -9.41297e-36 -5.65144e-41 1.54703e-43 
0.000234375 300 300 0.670048 0.101875 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 385018 0.6 0 5.71747e-19 0.767091 -2.37547e-34 5.92592e-37 0.232909 1.12993e-31 -5.31884e-32 1.13039e-30 -6.2211e-31 2.51805e-32 -5.83843e-32 -5.65232e-41 5.1894e-38 8.6618e-35 -2.54624e-51 -3.09611e-48 7.49281e-49 -1.05232e-52 1.52635e-37 -6.91852e-48 -3.46703e-59 1.65289e-11 2.22109e-36 3.0263e-31 2.67936e-42 -3.61169e-31 1.53351e-45 -9.70095e-36 -5.65142e-41 1.5404e-43 
0.00046875 300 300 0.657938 0.10375 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 382359 0.6 0 3.92e-07 0.767091 -4.25562e-34 -1.05108e-36 0.232909 1.51371e-31 -5.9508e-32 1.12599e-30 -6.53894e-31 -3.29866e-32 -6.99009e-32 -5.64575e-41 9.10793e-38 6.66993e-35 -2.54624e-51 -3.09611e-48 7.49281e-49 -1.05225e-52 1.2558e-37 -6.91852e-48 -3.47746e-59 1.65289e-11 2.2002e-36 2.63463e-31 2.58526e-42 -2.84886e-31 -2.71996e-45 -9.92676e-36 -5.65127e-41 1.53307e-43 
0.000703125 300 300 0.646259 0.105625 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 379765 0.6 0 -3.92e-07 0.767091 -5.83296e-34 -8.59968e-37 0.232909 1.75773e-31 -7.51477e-32 1.20182e-30 -7.33061e-31 -8.13801e-32 -7.17104e-32 -5.6381e-41 1.23615e-37 5.08332e-35 -2.54624e-51 -3.09611e-48 7.49281e-49 -1.05219e-52 1.02572e-37 -6.91852e-48 -3.48808e-59 1.65289e-11 2.17553e-36 2.28853e-31 2.48797e-42 -2.2318e-31 -2.22542e-45 -1.00935e-35 -5.64998e-41 1.5244e-43 
0.0009375 300 300 0.634987 0.1075 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 377234 0.6 0 5.64689e-19 0.767091 -7.19001e-34 -6.99136e-37 0.232909 1.79926e-31 -1.07476e-31 1.40958e-30 -8.97245e-31 -1.21356e-31 -6.63485e-32 -5.63026e-41 1.50297e-37 3.82912e-35 -2.54624e-51 -3.09611e-48 7.49281e-49 -1.05215e-52 8.28459e-38 -6.91852e-48 -3.49884e-59 1.65289e-11 2.14381e-36 1.9835e-31 2.39715e-42 -1.73581e-31 -1.80922e-45 -1.01988e-35 -5.63912e-41 1.51324e-43 
0.00117188 300 300 0.624102 0.109375 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 374764 0.6 0 6.28216e-19 0.767091 -8.46555e-34 -5.59736e-37 0.232909 1.54355e-31 -1.67336e-31 1.82631e-30 -1.20188e-30 -1.54025e-31 -5.58771e-32 -5.62349e-41 1.71706e-37 2.84582e-35 -2.54624e-51 -3.09611e-48 7.49281e-49 -1.05211e-52 6.56151e-38 -6.91852e-48 -3.50948e-59 1.65289e-11 2.09959e-36 1.71533e-31 2.32016e-42 -1.34022e-31 -1.44848e-45 -1.02326e-35 -5.54929e-41 1.49767e-43 
0.00140625 300 300 0.613583 0.11125 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 372351 0.6 0 5.0822e-19 0.767091 -9.99005e-34 -4.60545e-37 0.232909 8.5544e-32 -2.69956e-31 2.56108e-30 -1.72486e-30 -1.81582e-31 -4.17714e-32 -5.61835e-41 1.88172e-37 2.08552e-35 -2.54624e-51 -3.09612e-48 7.49281e-49 -1.05208e-52 5.0037e-38 -6.91852e-48 -3.51914e-59 1.65289e-11 2.03446e-36 1.48015e-31 2.26266e-42 -1.02243e-31 -1.1918e-45 -1.01822e-35 -4.8174e-41 1.47472e-43 
0.00164063 300 300 0.603413 0.113125 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 369994 0.6 0 3.92e-07 0.767091 -1.25491e-33 -4.02504e-37 0.232909 -4.51309e-32 -4.36047e-31 3.76349e-30 -2.57208e-30 -2.06433e-31 -2.49077e-32 -5.62209e-41 1.99705e-37 1.5142e-35 -2.54624e-51 -3.09612e-48 7.49281e-49 -1.05206e-52 3.51555e-38 -6.91852e-48 -3.52977e-59 1.65289e-11 1.93572e-36 1.27443e-31 2.22948e-42 -7.61754e-32 -1.0416e-45 -1.00239e-35 -5.01763e-41 1.43991e-43 
0.001875 300 300 0.593575 0.115 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 367690 0.6 0 -3.92e-07 0.767091 -1.81623e-33 -3.85964e-37 0.232909 -2.63215e-31 -6.93463e-31 5.63812e-30 -3.88565e-30 -2.31384e-31 -5.36319e-33 -5.63952e-41 2.05892e-37 1.11585e-35 -2.54625e-51 -3.09613e-48 7.49281e-49 -1.05205e-52 1.98286e-38 -6.91852e-48 -3.54416e-59 1.65289e-11 1.78454e-36 1.09493e-31 2.22633e-42 -5.38038e-32 -9.98795e-46 -9.72156e-36 -6.25757e-41 1.3866e-43 
0.00210938 300 300 0.584052 0.116875 4320 0.378816 1 574.643 1591.82 1340.4 0.55 0.9 365437 0.6 0 6.77626e-19 0.767091 -3.21818e-33 -4.1598e-37 0.232909 -6.05947e-31 -1.08143e-30 8.48347e-30 -5.86425e-30 -2.61296e-31 1.88869e-32 -5.67885e-41 2.05663e-37 9.197e-36 -2.54625e-51 -3.09615e-48 7.49281e-49 -1.05205e-52 2.5796e-39 -6.91852e-48 -3.56955e-59 1.65289e-11 1.5522e-36 9.38745e-32 2.2669e-42 -3.23226e-32 -1.07647e-45 -9.23463e-36 -9.13945e-41 1.3046e-43 
