#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 300 300 0.363572 0.824933 4320 0.378805 1.343 574.643 1591.82 1340.4 0.55 0.9 310380 0.6 -14.334 -31434.8 0.658284 4.04365e-19 -7.44528e-20 0.199873 3.70885e-19 -2.3542e-21 -9.85704e-19 -4.15789e-20 -5.56844e-21 -1.84749e-21 1.26688e-19 -4.83082e-21 -7.81845e-19 1.81813e-20 -2.24011e-19 1.6619e-18 1.45505e-19 -1.75227e-18 3.57099e-20 1.91332e-18 0.141843 -2.14312e-18 -1.34464e-19 6.25967e-23 2.75724e-27 -1.87903e-36 -5.13007e-21 -1.32246e-18 5.5292e-19 
0.01915 300.047 300.05 0.36363 0.824933 4320 0.378735 1.343 574.703 1591.82 1340.4 0.55 0.9 310407 0.6 -234.947 -662.466 0.658284 1.50569e-17 -3.80582e-25 0.199873 1.83023e-19 -1.00823e-18 -2.12151e-23 -4.16454e-20 -2.47855e-18 -2.74948e-19 1.26687e-19 -2.58251e-18 -7.81131e-19 1.81812e-20 -2.24011e-19 1.6619e-18 1.45505e-19 -7.03868e-20 3.57099e-20 1.91332e-18 0.141843 -2.14312e-18 -7.28652e-21 6.25841e-23 7.42327e-25 -8.40655e-34 -1.75876e-18 -1.32279e-18 5.5292e-19 
0.028725 300.286 300.315 0.36392 0.824933 4320 0.378494 1.343 575.022 1591.82 1340.4 0.55 0.9 310543 0.6 -1452.98 -7657.9 0.658284 6.73356e-16 -1.03033e-29 0.199873 1.5684e-19 -9.90974e-19 7.21679e-25 -4.16428e-20 -2.47862e-18 -2.89159e-19 1.26686e-19 -2.68212e-18 -7.80773e-19 1.81812e-20 -2.24011e-19 1.6619e-18 1.45505e-19 -5.4161e-21 3.57099e-20 1.91332e-18 0.141843 -2.14312e-18 -7.4589e-22 6.25778e-23 1.00916e-24 -5.68809e-36 -1.76232e-18 -1.32295e-18 5.5292e-19 
0.0335125 300.976 301.144 0.364755 0.824933 4320 0.377985 1.343 576.014 1591.82 1340.4 0.55 0.9 310934 0.6 -5442.99 -47124.5 0.658284 1.55977e-14 -5.10551e-30 0.199873 1.47139e-19 -9.75459e-19 6.9669e-25 -4.16405e-20 -2.47862e-18 -2.90546e-19 1.26686e-19 -2.68926e-18 -7.80594e-19 1.81812e-20 -2.24011e-19 1.6619e-18 1.4551e-19 -7.64435e-22 3.57099e-20 1.91332e-18 0.141843 -2.14317e-18 -1.36516e-22 6.25744e-23 8.4644e-25 -5.89418e-36 -1.72655e-18 -1.32302e-18 5.5292e-19 
0.0359063 302.09 302.63 0.366106 0.824933 4320 0.376824 1.343 577.784 1591.82 1340.4 0.55 0.9 311567 0.6 -14481.9 -154914 0.658284 1.88008e-13 -4.54412e-30 0.199873 1.425e-19 -6.80683e-19 7.04847e-25 -4.15981e-20 -2.47723e-18 -2.9034e-19 1.26692e-19 -2.69045e-18 -7.80501e-19 1.81813e-20 -2.24011e-19 1.6619e-18 1.4569e-19 -1.99884e-22 3.57114e-20 1.91332e-18 0.141843 -2.14602e-18 -4.13528e-23 6.25727e-23 5.70089e-25 -5.99984e-36 -1.10268e-18 -1.32258e-18 5.52922e-19 
0.0383 305.046 306.477 0.369688 0.824933 4320 0.374736 1.343 582.306 1591.82 1340.4 0.55 0.9 313245 0.6 -43385.6 -409045 0.658284 2.8799e-12 -5.17106e-29 0.199873 1.377e-19 1.48766e-17 7.52685e-25 -3.92543e-20 -2.39923e-18 -2.64631e-19 1.27104e-19 -2.70638e-18 -7.80283e-19 1.81816e-20 -2.23993e-19 1.6619e-18 1.55899e-19 -3.38486e-21 3.57948e-20 1.91353e-18 0.141843 -2.36307e-18 -1.17216e-23 6.25711e-23 -1.99436e-23 -6.30362e-36 2.05315e-17 -1.29545e-18 5.53012e-19 
0.0398625 309.274 312.375 0.374812 0.824933 4320 0.37106 1.343 589.078 1591.82 1340.4 0.55 0.9 315647 0.6 -109471 -885235 0.658284 2.56233e-11 -4.67559e-29 0.199873 1.35425e-19 4.5964e-16 8.67802e-25 3.10827e-20 -7.12184e-20 5.19087e-19 1.43508e-19 -2.65455e-18 -7.7644e-19 1.81939e-20 -2.23338e-19 1.6619e-18 4.65281e-19 -3.62721e-21 3.8338e-20 1.91996e-18 0.141843 -2.30995e-18 -4.07886e-24 6.25931e-23 -2.36838e-23 3.35223e-36 4.23306e-16 -4.72294e-19 5.56335e-19 
0.041425 317.913 324.157 0.385281 0.824933 4320 0.364074 1.343 602.036 1591.82 1340.4 0.55 0.9 320555 0.6 -303599 -1.74943e+06 0.658284 2.57919e-10 1.5133e-28 0.199873 1.61224e-19 1.55292e-14 1.42739e-24 2.54137e-18 8.24867e-17 2.86886e-17 9.17499e-19 1.07008e-19 -6.41242e-19 1.87154e-20 -1.95532e-19 1.6619e-18 1.16199e-17 -3.05955e-21 1.30536e-19 2.15116e-18 0.141843 7.36465e-18 -1.19128e-24 6.37304e-23 -1.73516e-23 1.10011e-32 9.4668e-15 2.91711e-17 7.01357e-19 
0.0429875 335.531 347.896 0.406632 0.824933 4320 0.351455 1.343 625.964 1591.82 1340.4 0.55 0.9 330569 0.6 -872611 -3.30154e+06 0.658284 2.53469e-09 8.23125e-26 0.199873 8.437e-19 4.99751e-13 1.4275e-23 8.7002e-17 2.88198e-15 9.96136e-16 3.56997e-17 1.11997e-16 3.97418e-18 3.98192e-20 9.29664e-19 1.66193e-18 3.964e-16 -8.74358e-22 3.32302e-18 1.01036e-17 0.141843 4.60142e-16 -2.42061e-25 1.15587e-22 3.95347e-22 7.52936e-30 2.03734e-13 1.04878e-15 6.73356e-18 
0.04455 371.373 395.421 0.45007 0.824933 4320 0.337847 1.343 666.063 1591.82 1340.4 0.55 0.9 350924 0.6 -2.49899e+06 -6.10186e+06 0.658284 2.31919e-08 5.21667e-23 0.199873 1.561e-17 1.45826e-11 8.92538e-22 2.73054e-15 8.99831e-14 3.15163e-14 1.4625e-15 4.23483e-15 1.4865e-16 8.20363e-19 4.25455e-17 1.66314e-18 1.26138e-14 1.35419e-19 1.04769e-16 2.61123e-16 0.141843 1.95014e-14 -2.37689e-26 2.26406e-21 3.12718e-20 4.03456e-27 4.04259e-12 3.32325e-14 2.36036e-16 
