#x Tg Ts u porosity solidDensity effectiveSolidHeatConductivity tortuosity_factor solidHeatCapacity specificArea extinctionCoefficient scatteringAlbedo emissivity hv insulationTransmissivity divq divSolidHeatConduction N2 H O2 OH O H2 H2O HO2 K KOH 
0 300 300 23.5418 0.1 4320 0.378816 1 574.643 16000 3000 1 0 1.03507e+08 0 0 -5.99393e+06 0.74522 8.30588e-20 0.226269 3.29423e-24 1.92005e-20 0.0285116 7.38296e-26 1.00689e-21 -1.04219e-22 2.35357e-25 
0.00304688 300 300 20.9843 0.112188 4320 0.378816 1 574.643 13389.9 2510.61 1 0 7.425e+07 0 0 0.00620247 0.74522 1.08101e-22 0.226269 2.26359e-23 1.902e-20 0.0285116 1.82777e-22 2.722e-18 -1.04219e-22 2.35357e-25 
0.00609375 300 300 18.9281 0.124375 4320 0.378816 1 574.643 11512 2158.5 1 0 5.58932e+07 0 0 -8.99434e-06 0.74522 1.55908e-25 0.226269 2.46725e-23 1.8822e-20 0.0285116 4.0354e-22 2.72635e-18 -1.04219e-22 2.35357e-25 
0.0121875 300 300 15.8264 0.14875 4320 0.378816 1 574.643 8990.22 1685.67 1 0 3.49839e+07 0 0 -9.39309e-05 0.74522 2.8612e-26 0.226269 2.43198e-23 1.83601e-20 0.0285116 9.24046e-22 2.72827e-18 -1.04219e-22 2.35357e-25 
0.0182812 300 300 13.5981 0.173125 4320 0.378816 1 574.643 7374.74 1382.76 1 0 2.39589e+07 0 0 -0.000477587 0.74522 2.77447e-26 0.226269 2.36398e-23 1.78377e-20 0.0285116 1.51291e-21 2.73042e-18 -1.04219e-22 2.35357e-25 
0.024375 300 300 11.9199 0.1975 4320 0.378816 1 574.643 6251.41 1172.14 1 0 1.74366e+07 0 0 -0.00163272 0.74522 2.68481e-26 0.226269 2.28761e-23 1.72611e-20 0.0285116 2.16297e-21 2.7328e-18 -1.04219e-22 2.35357e-25 
0.0304687 300 300 10.6104 0.221875 4320 0.378816 1 574.643 5425.05 1017.2 1 0 1.32589e+07 0 0 -0.0033721 0.74522 2.58774e-26 0.226269 2.20488e-23 1.66367e-20 0.0285116 2.86686e-21 2.73538e-18 -1.04219e-22 2.35357e-25 
0.0365625 300 300 9.56011 0.24625 4320 0.378816 1 574.643 4791.66 898.436 1 0 1.04222e+07 0 0 -0.00232383 0.74522 2.48446e-26 0.226269 2.11678e-23 1.59715e-20 0.0285116 3.61688e-21 2.73813e-18 -1.04219e-22 2.35357e-25 
0.0396094 300 300 9.10927 0.258437 4320 0.378816 1 574.643 4527.37 848.881 1 0 9.33403e+06 0 0 -0.00232476 0.74522 2.43146e-26 0.226269 2.07154e-23 1.56298e-20 0.0285116 4.00204e-21 2.73954e-18 -1.04219e-22 2.35357e-25 
0.0411328 300 300 8.89943 0.264531 4320 0.378816 1 574.643 4405.86 826.098 1 0 8.85284e+06 0 0 -0.00249259 0.74522 2.40465e-26 0.226269 2.04865e-23 1.54569e-20 0.0285116 4.19699e-21 2.74025e-18 -1.04219e-22 2.35357e-25 
