#x u rho mdot phi T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0 0.348392 1.04384 0.3 1.3 300 300 0.631415 3.41543e-19 -9.17837e-20 0.191715 4.83226e-19 6.2845e-22 1.30158e-21 3.42485e-19 -7.18726e-21 3.41189e-21 5.14495e-20 -9.16286e-24 -1.15079e-18 -1.58508e-21 -7.12773e-19 2.17469e-19 -3.69444e-19 -3.18066e-21 1.81515e-19 -2.07325e-20 0.17687 -1.43873e-18 6.3039e-19 -2.68731e-24 2.31641e-30 -7.70742e-36 4.12472e-21 2.38595e-18 1.82793e-19 
0.01915 0.348444 1.04368 0.3 1.3 300.045 300.047 0.631415 2.79764e-17 -4.79404e-25 0.191715 9.3409e-19 2.59949e-19 4.28335e-24 3.41006e-19 -3.05464e-18 1.28058e-18 5.14495e-20 -4.68419e-21 -1.15068e-18 -1.58508e-21 -7.12773e-19 2.17469e-19 -3.69444e-19 -1.30378e-22 1.81515e-19 -2.07325e-20 0.17687 -1.43873e-18 3.48502e-20 -2.68658e-24 5.95529e-28 -1.00564e-33 4.62512e-19 2.38595e-18 1.82793e-19 
0.028725 0.348703 1.04291 0.3 1.3 300.267 300.294 0.631415 1.21709e-15 -5.11862e-30 0.191715 8.62921e-19 3.80262e-19 3.97089e-24 1.03635e-19 -2.59404e-18 1.34753e-18 5.14495e-20 -4.86937e-21 -1.15063e-18 -1.58508e-21 -7.12773e-19 2.17469e-19 -3.69444e-19 -1.02369e-23 1.81515e-19 -2.07325e-20 0.17687 -1.43874e-18 3.63784e-21 -2.6862e-24 9.00138e-28 8.96267e-38 6.76665e-19 2.38595e-18 1.82793e-19 
0.0335125 0.349435 1.04073 0.3 1.3 300.898 301.047 0.631415 2.7053e-14 -9.76204e-32 0.191715 8.14531e-19 4.42808e-19 3.84287e-24 -9.29325e-21 -2.37488e-18 1.35386e-18 5.14496e-20 -4.97167e-21 -1.1506e-18 -1.58508e-21 -7.12773e-19 2.17469e-19 -3.69441e-19 -3.88635e-24 1.81515e-19 -2.07325e-20 0.17687 -1.43945e-18 6.7889e-22 -2.686e-24 -6.12869e-27 8.75101e-38 7.96245e-19 2.38596e-18 1.82793e-19 
0.0359063 0.350601 1.03726 0.3 1.3 301.902 302.376 0.631415 3.13437e-13 -2.03537e-29 0.191715 7.88881e-19 6.38352e-19 3.87077e-24 -6.37868e-20 -2.26784e-18 1.35513e-18 5.14527e-20 -8.18969e-21 -1.15058e-18 -1.58507e-21 -7.12773e-19 2.17469e-19 -3.69324e-19 -6.81677e-22 1.81516e-19 -2.07304e-20 0.17687 -1.47878e-18 2.09627e-22 -2.68589e-24 -2.72495e-24 6.09072e-38 1.249e-18 2.38635e-18 1.82794e-19 
0.0383 0.353652 1.02831 0.3 1.3 304.529 305.771 0.631415 4.61126e-12 -2.57735e-29 0.191715 7.60882e-19 9.2756e-18 4.13507e-24 -1.13673e-19 -2.10069e-18 1.37063e-18 5.16713e-20 -1.14406e-20 -1.15045e-18 -1.58475e-21 -7.12763e-19 2.17469e-19 -3.63003e-19 -8.19544e-22 1.81563e-19 -2.06168e-20 0.17687 -1.5188e-18 6.10439e-23 -2.68521e-24 -3.08159e-24 7.51191e-37 1.3426e-17 2.4076e-18 1.82832e-19 
0.0398625 0.357973 1.0159 0.3 1.3 308.25 310.917 0.631415 3.9573e-11 -2.72244e-29 0.191715 7.40481e-19 2.47912e-16 4.63761e-24 -9.86398e-20 -1.18093e-19 1.81165e-18 6.00326e-20 1.63607e-20 -1.14729e-18 -1.5737e-21 -7.12416e-19 2.17469e-19 -1.79579e-19 -8.04129e-22 1.82941e-19 -1.73178e-20 0.17687 -1.45977e-18 2.19835e-23 -2.66342e-24 -3.10512e-24 1.76721e-35 2.31823e-16 3.02458e-18 1.84194e-19 
0.041425 0.366717 0.99168 0.3 1.3 315.779 321.105 0.631415 3.84546e-10 1.13307e-28 0.191715 7.25231e-19 8.11463e-15 5.9948e-24 1.4689e-18 6.54315e-17 1.70539e-17 4.40234e-19 1.26429e-18 -1.03934e-18 -1.12193e-21 -6.98243e-19 2.17469e-19 6.17117e-18 -7.06097e-22 2.30971e-19 9.69175e-20 0.17687 2.66723e-18 6.80735e-24 -1.66402e-24 -2.93997e-25 3.44822e-33 4.95737e-15 2.43893e-17 2.41508e-19 
0.0429875 0.384381 0.946109 0.3 1.3 330.989 341.47 0.631415 3.66792e-09 5.26868e-26 0.191715 9.49996e-19 2.55716e-13 1.34551e-23 5.40307e-17 2.21041e-15 5.23354e-16 1.70047e-17 5.00972e-17 2.52578e-18 1.65797e-20 -1.42892e-19 2.17503e-19 2.17697e-16 -5.29444e-23 1.83908e-18 3.89653e-18 0.17687 1.88652e-16 1.54441e-24 4.24033e-23 1.806e-22 2.04095e-30 1.03308e-13 7.35009e-16 2.55374e-18 
0.04455 0.420029 0.865811 0.3 1.3 361.686 382.024 0.631415 3.28736e-08 2.77357e-23 0.191715 6.54024e-18 7.39649e-12 2.85204e-22 1.66176e-15 6.73793e-14 1.61303e-14 6.83016e-16 1.81135e-15 1.11724e-16 6.57412e-19 1.99617e-17 2.18853e-19 6.76837e-15 4.64409e-20 5.17632e-17 1.21082e-16 0.17687 7.86494e-15 1.907e-25 1.83273e-21 1.2607e-20 1.06006e-27 2.00519e-12 2.26514e-14 8.87284e-17 
